"Name","training_start_time","num_transformations","num_replacements","out_of_style_prob","State","Notes","User","Tags","Created","Runtime","augmentation_seed","batch_size","d_model","dataset_processed_time","dim_forward","dropout","epochs","grad_clip","hit_sigmoid_in_forward","learning_rate","loss_penalty","n_heads","n_layers","seed_examples_sets","test_data_size","torch_seed","training_data_size","epoch","grad_norm","hit_accuracy","hits_loss","offsets_loss","test_loss","training_loss","training_sample","velocities_loss"
"empathic-manoeuvre-111","1712415249","3","1","0.25","finished","-","dfloresgarcia24","","2024-04-06T14:54:10.000Z","4487","42","16","128","1712415177","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65773","50","3.8016982078552246","0.8923160433769226","1.1338768005371094","0.030794955790042877","3.624898936198308","1.3355913162231443","65536","0.1709195375442505"
"prime-first-contact-120","1712432554","3","2","0.25","finished","-","dfloresgarcia24","","2024-04-06T19:42:34.000Z","4557","42","16","128","1712432480","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65932","50","2.13175892829895","0.8831046223640442","0.6579365730285645","0.016947295516729355","3.676196254216708","0.7984404563903809","65536","0.12355662137269974"
"cardassian-manoeuvre-114","1712422088","3","1","0","finished","-","dfloresgarcia24","","2024-04-06T16:48:08.000Z","4596","42","16","128","1712422015","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66732","50","3.532538890838623","0.8890758752822876","1.0347189903259275","0.023682620376348495","3.639460409604586","1.269913673400879","65536","0.2115120589733124"
"final-quark-121","1712436285","3","2","0","finished","-","dfloresgarcia24","","2024-04-06T20:44:46.000Z","4527","42","16","128","1712436001","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66528","50","2.8127195835113525","0.8811865448951721","0.5311873555183411","0.007815061137080193","3.682932998583867","0.6393201947212219","65536","0.1003178060054779"
"futile-queen-117","1712426762","3","4","0","finished","-","dfloresgarcia24","","2024-04-06T18:06:02.000Z","4589","42","16","128","1712426686","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66500","50","0.04455957189202309","0.8173327445983887","0.0021202494390308857","0.00012600841000676155","4.148887634277344","0.003493376076221466","65536","0.0012471183435991406"
"prime-queen-109","1712412958","3","2","0.5","finished","-","dfloresgarcia24","","2024-04-06T14:15:59.000Z","4432","42","16","128","1712412883","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65934","50","2.3136494159698486","0.8817408084869385","0.44593608379364014","0.010490238666534424","3.681249027985793","0.5333703756332397","65536","0.0769440308213234"
"nagus-first-contact-119","1712431430","3","1","0.5","finished","-","dfloresgarcia24","","2024-04-06T19:23:50.000Z","4569","42","16","128","1712431357","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66578","50","6.146413326263428","0.8903695940971375","0.97296142578125","0.013250848278403282","3.632190691507779","1.1905980110168457","65536","0.20438574254512787"
"changeling-space-112","1712417466","3","1","1","finished","-","dfloresgarcia24","","2024-04-06T15:31:06.000Z","4548","42","16","128","1712417392","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66132","50","1.444267749786377","0.898879885673523","0.5610748529434204","0.015886086970567703","3.5941600707861094","0.6377999186515808","65536","0.060839004814624786"
"emissary-unimatrix-123","1712440953","3","2","1","finished","-","dfloresgarcia24","","2024-04-06T22:02:33.000Z","4317","42","16","128","1712440815","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65949","50","1.8370184898376465","0.8854750990867615","0.4739634692668915","0.012003310024738312","3.664010825523963","0.569701611995697","65536","0.08373484760522842"
"mild-frog-105","1711270825","2","4","0","finished","-","dfloresgarcia24","","2024-03-24T09:00:25.000Z","3369","42","16","128","1711270761","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","0.01887546293437481","0.9370036721229552","0.0006926509086042643","0.00018328550504520535","3.4515429123854027","0.001101178117096424","49152","0.0002252417034469545"
"quiet-morning-96","1711256009","2","1","1","finished","-","dfloresgarcia24","","2024-03-24T04:53:30.000Z","3583","42","16","128","1711255785","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","3.070042371749878","0.9027655124664308","0.7874339818954468","0.021799638867378235","3.5711077109361304","0.9586846232414246","49152","0.14945103228092194"
"worthy-elevator-106","1711274263","2","4","0.5","finished","-","dfloresgarcia24","","2024-03-24T09:57:44.000Z","3382","42","16","128","1711274195","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","0.4027654826641083","0.9384526610374452","0.029130663722753525","0.00015183541108854115","3.4416449247262415","0.03260650485754013","49152","0.0033240069169551134"
